timestamp,open,high,low,close,volume,symbol
2024-06-03 09:00,9446.86,9449.12,9434.39,9442.38,912,7203.T
2024-06-03 09:01,9439.08,9447.01,9438.18,9442.03,315,7203.T
2024-06-03 09:02,9444.4,9461.86,9435.05,9446.29,885,7203.T
2024-06-03 09:03,9441.02,9445.09,9441.02,9442.3,1110,7203.T
2024-06-03 09:04,9464.38,9476.74,9464.38,9470.43,379,7203.T
2024-06-03 09:05,9476.88,9496.6,9464.4,9476.75,587,7203.T
2024-06-03 09:06,9480.54,9493.19,9478.84,9489.38,769,7203.T
2024-06-03 09:07,9513.78,9533.87,9502.49,9514.47,863,7203.T
2024-06-03 09:08,9487.5,9498.81,9486.89,9492.99,266,7203.T
2024-06-03 09:09,9476.77,9486.7,9457.55,9479.91,1107,7203.T
2024-06-03 09:10,9485.1,9500.32,9485.1,9490.54,599,7203.T
2024-06-03 09:11,9468.87,9493.14,9468.87,9477.41,293,7203.T
2024-06-03 09:12,9466.09,9473.36,9465.97,9470.98,608,7203.T
2024-06-03 09:13,9462.28,9492.4,9462.28,9467.42,552,7203.T
2024-06-03 09:14,9481.34,9489.26,9476.65,9482.63,543,7203.T
2024-06-03 09:15,9473.59,9486.35,9463.71,9478.82,955,7203.T
2024-06-03 09:16,9474.23,9487.96,9461.53,9470.83,689,7203.T
2024-06-03 09:17,9469.1,9486.12,9469.1,9476.77,984,7203.T
2024-06-03 09:18,9449.06,9453.19,9448.81,9449.65,361,7203.T
2024-06-03 09:19,9442.06,9449.26,9434.24,9443.82,862,7203.T
2024-06-03 09:20,9452.06,9473.36,9452.06,9456.82,830,7203.T
2024-06-03 09:21,9472.26,9481.59,9453.84,9476.16,231,7203.T
2024-06-03 09:22,9466.67,9475.62,9457.42,9473.74,1007,7203.T
2024-06-03 09:23,9469.34,9472.31,9466.92,9469.84,1196,7203.T
2024-06-03 09:24,9462.74,9474.08,9446.51,9466.38,739,7203.T
2024-06-03 09:25,9496.74,9496.74,9491.26,9493.3,843,7203.T
2024-06-03 09:26,9505.32,9512.26,9481.84,9498.7,1164,7203.T
2024-06-03 09:27,9497.34,9504.6,9494.02,9498.95,1171,7203.T
2024-06-03 09:28,9465.65,9495.47,9463.09,9470.97,466,7203.T
2024-06-03 09:29,9498.38,9506.9,9484.07,9498.22,290,7203.T
2024-06-03 09:30,9519.66,9521.83,9503.02,9517.57,1189,7203.T
2024-06-03 09:31,9501.37,9510.6,9495.03,9506.97,436,7203.T
2024-06-03 09:32,9522.1,9531.27,9522.1,9530.78,628,7203.T
